stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1120,1120,Pine St & 4th Ave,Pine Street and Fourth Avenue,,47.6111031,-122.338028,21,,0,,America/Los_Angeles,1
11200,11200,Broadway  E & E Mercer St,Broadway East and East Mercer Street,,47.6246109,-122.320839,1,,0,,America/Los_Angeles,1
11230,11230,10th Ave E & E Prospect St,10th Avenue East and East Prospect Street,,47.6288605,-122.320114,1,,0,,America/Los_Angeles,1
11250,11250,10th Ave E & E Galer St,10th Avenue East and East Galer Street,,47.6322136,-122.320099,1,,0,,America/Los_Angeles,1
11270,11270,10th Ave E & E Howe St,10th Avenue East and East Howe Street,,47.6362305,-122.319992,1,,0,,America/Los_Angeles,1
11290,11290,10th Ave E & E Miller St,10th Avenue East and East Miller Street,,47.6410675,-122.319969,1,,0,,America/Los_Angeles,1
11300,11300,E Roanoke St & Broadway  E,East Roanoke Street and Broadway East,,47.643261,-122.320747,1,,0,,America/Los_Angeles,1
11330,11330,Harvard Ave E & E Shelby St,Harvard Avenue East and East Shelby Street,,47.647171,-122.321999,1,,0,,America/Los_Angeles,1
11352,11352,15th Ave NE & NE 42nd St,15th Avenue Northeast and Northeast 42nd Street,,47.6586685,-122.311905,1,,0,,America/Los_Angeles,1
11356,11356,NE 45th St & 17th Ave NE,Northeast 45th Street and 17th Avenue Northeast,,47.6613274,-122.31012,1,,0,,America/Los_Angeles,1
11357,11357,NE 45th St & 20th Ave NE,Northeast 45th Street and 20th Avenue Northeast,,47.6613274,-122.306923,1,,0,,America/Los_Angeles,1
11358,11358,U District Station - Bay 2,You District Station - Bay Two,,47.6613388,-122.313614,1,,0,,America/Los_Angeles,1
11370,11370,15th Ave E & E Galer St,15th Avenue East and East Galer Street,,47.6324997,-122.312607,1,,0,,America/Los_Angeles,1
11390,11390,15th Ave E & E Prospect St,15th Avenue East and East Prospect Street,,47.628479,-122.312668,1,,0,,America/Los_Angeles,1
11400,11400,15th Ave E & E Aloha St,15th Avenue East and East Aloha Street,,47.6266823,-122.312668,1,,0,,America/Los_Angeles,1
11410,11410,15th Ave E & E Roy St,15th Avenue East and East Roy Street,,47.6250267,-122.312698,1,,0,,America/Los_Angeles,1
11430,11430,15th Ave E & E Republican St,15th Avenue East and East Republican Street,,47.6228943,-122.312737,1,,0,,America/Los_Angeles,1
11480,11480,E Pine St & 15th Ave,East Pine Street and 15th Avenue,,47.6153564,-122.313255,1,,0,,America/Los_Angeles,1
11490,11490,E Pine St & 13th Ave,East Pine Street and 13th Avenue,,47.615345,-122.31591,1,,0,,America/Los_Angeles,1
11520,11520,E Pine St & 12th Ave,East Pine Street and 12th Avenue,,47.6152,-122.316483,1,,0,,America/Los_Angeles,1
11535,11535,E Pine St & 15th Ave,East Pine Street and 15th Avenue,,47.6152115,-122.311852,1,,0,,America/Los_Angeles,1
11565,11565,15th Ave E & E Thomas St,15th Avenue East and East Thomas Street,,47.6207733,-122.312607,1,,0,,America/Los_Angeles,1
11566,11566,15th Ave E & E Thomas St,15th Avenue East and East Thomas Street,,47.6206436,-122.312805,1,,0,,America/Los_Angeles,1
11567,11567,15th Ave E & E Denny Way,15th Avenue East and East Denny Way,,47.6187935,-122.312645,1,,0,,America/Los_Angeles,1
11568,11568,15th Ave & E Denny Way,15th Avenue and East Denny Way,,47.6183014,-122.312851,1,,0,,America/Los_Angeles,1
11569,11569,15th Ave & E Pine St,15th Avenue and East Pine Street,,47.6156998,-122.312668,1,,0,,America/Los_Angeles,1
11570,11570,15th Ave E & E Republican St,15th Avenue East and East Republican Street,,47.622963,-122.312538,1,,0,,America/Los_Angeles,1
11590,11590,15th Ave E & E Roy St,15th Avenue East and East Roy Street,,47.6254234,-122.312492,1,,0,,America/Los_Angeles,1
11600,11600,15th Ave E & E Aloha St,15th Avenue East and East Aloha Street,,47.6270981,-122.312469,1,,0,,America/Los_Angeles,1
11610,11610,15th Ave E & E Prospect St,15th Avenue East and East Prospect Street,,47.6289024,-122.312454,1,,0,,America/Los_Angeles,1
11620,11620,15th Ave E & E Highland Dr,15th Avenue East and East Highland Dr,,47.6308327,-122.312424,1,,0,,America/Los_Angeles,1
11630,11630,Grandview Pl E & E Galer St,Grandview Place East and East Galer Street,,47.6325226,-122.311821,1,,0,,America/Los_Angeles,1
11640,11640,Grandview Pl E & E Garfield St,Grandview Place East and East Garfield Street,,47.634079,-122.311798,1,,0,,America/Los_Angeles,1
11680,11680,Mount Rainier Dr S & S Hanford St,Mount Rainier Drive South and South Hanford Street,,47.5756569,-122.284843,1,,0,,America/Los_Angeles,1
11690,11690,Mount Rainier Dr S & S Ridgeway Pl,Mount Rainier Drive South and South Ridgeway Place,,47.5765381,-122.28624,1,,0,,America/Los_Angeles,1
11700,11700,S Mcclellan St & Lake Park Dr S,South Mcclellan Street and Lake Park Drive South,,47.5784073,-122.288605,1,,0,,America/Los_Angeles,1
11720,11720,S Mcclellan St & 31st Ave S,South Mcclellan Street and 31st Avenue South,,47.5784111,-122.292671,1,,0,,America/Los_Angeles,1
11730,11730,31st Ave S & S Lander St,31st Avenue South and South Lander Street,,47.5798607,-122.292908,1,,0,,America/Los_Angeles,1
11750,11750,31st Ave S & S College St,31st Avenue South and South College Street,,47.5827065,-122.292892,1,,0,,America/Los_Angeles,1
11770,11770,31st Ave S & S Plum St,31st Avenue South and South Plum Street,,47.5850983,-122.292908,1,,0,,America/Los_Angeles,1
11790,11790,31st Ave S & S Massachusetts St,31st Avenue South and South Massachusetts Street,,47.5881615,-122.292442,1,,0,,America/Los_Angeles,1
1180,1180,Pike St & 4th Ave,Pike Street and Fourth Avenue,,47.6100731,-122.336838,21,,0,,America/Los_Angeles,1
11800,11800,31st Ave S & S Day St,31st Avenue South and South Day Street,,47.5905914,-122.292305,1,,0,,America/Los_Angeles,1
11820,11820,31st Ave S & S Norman St,31st Avenue South and South Norman Street,,47.5935059,-122.292656,1,,0,,America/Los_Angeles,1
11840,11840,31st Ave S & S Dearborn St,31st Avenue South and South Dearborn Street,,47.5959206,-122.292603,1,,0,,America/Los_Angeles,1
11860,11860,31st Ave S & S King St,31st Avenue South and South King Street,,47.597908,-122.292519,1,,0,,America/Los_Angeles,1
11870,11870,S Jackson St & 30th Ave S,South Jackson Street and 30th Avenue South,,47.5992508,-122.29364,1,,0,,America/Los_Angeles,1
11880,11880,S Jackson St & 28th Ave S,South Jackson Street and 28th Avenue South,,47.5992813,-122.296005,1,,0,,America/Los_Angeles,1
11890,11890,S Jackson St & Martin L King Jr Way S,South Jackson Street and Martin Luther King Jr Way South,,47.5993042,-122.297752,1,,0,,America/Los_Angeles,1
1190,1190,Pike St & 6th Ave,Pike Street and Sixth Avenue,,47.6110344,-122.334526,21,,0,,America/Los_Angeles,1
11910,11910,S Jackson St & 23rd Ave S,South Jackson Street and 23rd Avenue South,,47.5993462,-122.301811,1,,0,,America/Los_Angeles,1
11920,11920,S Jackson St & 20th Pl S,South Jackson Street and 20th Place South,,47.5993347,-122.304642,1,,0,,America/Los_Angeles,1
11940,11940,S Jackson St & 18th Ave S,South Jackson Street and 18th Avenue South,,47.5993042,-122.309349,1,,0,,America/Los_Angeles,1
1195,1195,Pike St & 7th Ave,Pike Street and Seventh Avenue,,47.6118088,-122.332687,21,,0,,America/Los_Angeles,1
11960,11960,S Jackson St & Rainier Ave S,South Jackson Street and Rainier Avenue South,,47.5991478,-122.313354,1,,0,,America/Los_Angeles,1
11980,11980,S Jackson St & 18th Ave S,South Jackson Street and 18th Avenue South,,47.5991669,-122.309738,1,,0,,America/Los_Angeles,1
11990,11990,S Jackson St & 20th Ave S,South Jackson Street and 20th Avenue South,,47.5991898,-122.305893,1,,0,,America/Los_Angeles,1
120,120,E Madison St & Martin L King Jr Way E,East Madison Street and Martin Luther King Jr Way East,,47.6230965,-122.296906,1,,0,,America/Los_Angeles,1
12010,12010,S Jackson St & 23rd Ave S,South Jackson Street and 23rd Avenue South,,47.5992203,-122.30143,1,,0,,America/Los_Angeles,1
12030,12030,S Jackson St & 28th Ave S,South Jackson Street and 28th Avenue South,,47.5991478,-122.295952,1,,0,,America/Los_Angeles,1
12040,12040,S Jackson St & 30th Ave S,South Jackson Street and 30th Avenue South,,47.5991173,-122.29393,1,,0,,America/Los_Angeles,1
12050,12050,31st Ave S & S King St,31st Avenue South and South King Street,,47.597744,-122.29274,1,,0,,America/Los_Angeles,1
12070,12070,31st Ave S & S Dearborn St,31st Avenue South and South Dearborn Street,,47.5955124,-122.292809,1,,0,,America/Los_Angeles,1
12080,12080,31st Ave S & S Norman St,31st Avenue South and South Norman Street,,47.5930748,-122.292877,1,,0,,America/Los_Angeles,1
12090,12090,31st Ave S & S Irving St,31st Avenue South and South Irving Street,,47.5909729,-122.292496,1,,0,,America/Los_Angeles,1
121,121,E Madison St & 23rd Ave E,East Madison Street and 23rd Avenue East,,47.6193161,-122.302483,1,,0,,America/Los_Angeles,1
12110,12110,31st Ave S & S Massachusetts St,31st Avenue South and South Massachusetts Street,,47.5878716,-122.292648,1,,0,,America/Los_Angeles,1
12130,12130,31st Ave S & S Plum St,31st Avenue South and South Plum Street,,47.5849571,-122.293098,1,,0,,America/Los_Angeles,1
12140,12140,31st Ave S & S Walker St,31st Avenue South and South Walker Street,,47.5834236,-122.293106,1,,0,,America/Los_Angeles,1
1215,1215,Union St & 5th Ave,Union Street and Fifth Avenue,,47.6098289,-122.334511,21,,0,,America/Los_Angeles,1
12160,12160,31st Ave S & S Lander St,31st Avenue South and South Lander Street,,47.579422,-122.293098,1,,0,,America/Los_Angeles,1
12170,12170,S Mcclellan St & 31st Ave S,South Mcclellan Street and 31st Avenue South,,47.5782776,-122.292496,1,,0,,America/Los_Angeles,1
